,Dementia_n,Dementia_p,Dementia_l
132,NTRK2,4.062426520231101e-09,0.07220262
206,BMPR2,4.505716673173909e-07,0.080724135
570,STAT5B,0.0024745964241733665,0.12816583
639,NPAS2,0.0051369176499471945,0.11113084
1441,CLOCK,0.2040116110646433,0.043709736
1724,SMAD2,0.3465105782852191,0.062847294
2665,NR1D1,0.920459228318357,0.20645066
2790,CNTFR,1.0,0.09033439
3135,NR1D2,1.0,0.037881944
3279,ACHE,1.0,0.107775085
3687,BMP1,1.0,0.26579642
4039,KLF16,1.0,0.1641424
6550,BMPR1B,1.0,0.069864005
6782,NGFR,1.0,0.4020396
6873,BMPR1A,1.0,0.0044020186
6952,NTRK1,1.0,0.31654158
8430,BMP3,1.0,0.17355356
9458,SLC5A7,1.0,0.971786
9676,RORB,1.0,0.12619376
10269,KLF7,1.0,-0.0057285517
10547,IL6R,1.0,0.19438732
11368,RORC,1.0,0.6318726
11510,CNTF,1.0,-0.11295365
11774,KLF4,1.0,0.7052188
13602,RORA,1.0,0.0015722298
14780,SLC18A3,1.0,0.0
16610,LIF,1.0,0.0
17627,NKX2-1,1.0,-2.977887
18545,GBX2,1.0,-15.474349
19453,BMP15,1.0,-15.989948
19600,IL6,1.0,-17.059227
19990,BMP6,1.0,0.14921203
20737,BMP4,1.0,-0.22564998
21158,PRIMA1,1.0,-0.09534449
21184,BMP10,1.0,-17.644283
21526,LHX8,1.0,-1.4540032
21916,CHAT,1.0,-0.37619913
22057,STAT5A,1.0,0.13244924
23912,BDNF,1.0,0.058408827
24650,GBX1,1.0,-1.4719249
25126,NGF,1.0,-0.4460102
25130,BMP7,1.0,-0.13087645
26018,BCHE,1.0,-0.8878025
26686,BMP8B,1.0,-0.52679855
27140,BMPER,1.0,-0.008994243
27595,IL6ST,1.0,-0.012469856
28431,BMP2,1.0,-0.2419238
28728,LHX6,1.0,-0.4027637
28926,BMP5,1.0,-0.28015104
31596,BMP8A,1.0,-0.16188364
31765,PCYT1A,0.9484526854586731,-0.046233382
32275,LIFR,0.7543875672510317,-0.04978653
33123,ARNTL2,0.434322664145737,-0.046238825
33191,STAT3,0.40585890082663684,-0.05570952
33431,STAT1,0.32386363641645183,-0.19126377
34490,ARNTL,0.06697011369449436,-0.09715251
35202,COLQ,0.00827514883098283,-0.1242142
36004,BMP2K,1.4408197974127221e-05,-0.12886195
