name,sample_title,sex,cond,time,line,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_organism_ch1,Sample_characteristics_ch1,Sample_characteristics_ch1.1,Sample_characteristics_ch1.2,Sample_characteristics_ch1.3,Sample_treatment_protocol_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_extract_protocol_ch1.1,Sample_taxid_ch1,Sample_description,Sample_description.1,Sample_data_processing,Sample_data_processing.1,Sample_data_processing.2,Sample_data_processing.3,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_department,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_zip/postal_code,Sample_contact_country,Sample_data_row_count,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_relation,Sample_relation.1,Sample_supplementary_file_1
LA2CO2_1,Day 2 Control Rep 1 [LA-N-2],Female,Control,2,LA-N-2,GSM3897393,Public on Oct 15 2019,Jun 18 2019,Oct 15 2019,SRA,1,Homo sapiens,LA-N-2,cell type: Immortalized human nervous cell,passages: 10-20,rin: ~10,"Cells were treated once with 100 ng/ml (LA-N-2) or 10 ng/ml (LAN-5) of CNTF in deionized water, 24h after seeding. CNTF (or pure water for control) was added to existing medium. Medium was not changed for the duration of the experiment (max. 5 days). For short periods (30 and 60 minutes), samples were incubated at Day 2 and compared to Day 2 controls.","Cells were grown in 50/50 mixture of DMEM and RPMI media, with 20% FCS added, under 8% CO2 atmosphere. Cell splitting was performed weekly at 80% confluency.",total RNA,"Total RNA was extracted by TRIzol lysis with 1 ml of TRIzol per well. RNA was precipitated with pure Ethanol and washed with 85% Ethanol, according to the manufacturers instructions.","An even amount of 150 ng RNA per sample was used for small-RNA library construction using the New England BioLabs NEB-next multiplex small-RNA library construction kit. The library was size selected based on DNA 1000 LabChip kits by 2100 Bioanalyzer (Agilent Technologies) results to 146 bp long transcripts which include the barcodes, adaptors and ca. 20 bp long miRs. This ensures that sequenced transcripts are in the maximum length of 30 bp only. Libraries were quantified using the highly sensitive fluorescent dye-based Qubit® ds DNA HS Assay Kit (Invitrogen). Sequencing was run in The NextSeq Series desktop sequencing system of the Illumina platform (all 48 samples on one chip). The number of Pass Filter reads per sample was at the range of (13-14*10^6 reads). Read counts and quality for each sample were evaluated with the BaseSpace Sequencing QC report tool.",9606,Small RNA sequencing,processed data file: mirexpress2_counts_raw.csv,"Adapter trim and quality filtering using flexbar 3.4.0, miRBase alignment: miRExpress 2.1.4: Data parse (“Raw_data_parse”), statistics generation (“statistics_reads”), alignment (“alignmentSIMD”, “analysis”).",Count readout for all alignments: R/Rsubread 1.28.1,Genome_build: miRBase v21,Supplementary_files_format_and_content: mirexpress2_counts_raw.csv: Comma-delimited text file contains raw count values. Row names in miRExpress file contain mature human miR name.,GPL18573,"Sebastian,,Lobentanzer",lobentanzer@em.uni-frankfurt.de,Pharmacology,Johann-Wolfgang-von-Goethe University,Max-von-Laue-Str. 9,Frankfurt,60438,Germany,0,Illumina NextSeq 500,size fractionation,transcriptomic,miRNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12090501,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6090196,NONE
LA2CO2_2,Day 2 Control Rep 2 [LA-N-2],Female,Control,2,LA-N-2,GSM3897394,Public on Oct 15 2019,Jun 18 2019,Oct 15 2019,SRA,1,Homo sapiens,LA-N-2,cell type: Immortalized human nervous cell,passages: 10-20,rin: ~10,"Cells were treated once with 100 ng/ml (LA-N-2) or 10 ng/ml (LAN-5) of CNTF in deionized water, 24h after seeding. CNTF (or pure water for control) was added to existing medium. Medium was not changed for the duration of the experiment (max. 5 days). For short periods (30 and 60 minutes), samples were incubated at Day 2 and compared to Day 2 controls.","Cells were grown in 50/50 mixture of DMEM and RPMI media, with 20% FCS added, under 8% CO2 atmosphere. Cell splitting was performed weekly at 80% confluency.",total RNA,"Total RNA was extracted by TRIzol lysis with 1 ml of TRIzol per well. RNA was precipitated with pure Ethanol and washed with 85% Ethanol, according to the manufacturers instructions.","An even amount of 150 ng RNA per sample was used for small-RNA library construction using the New England BioLabs NEB-next multiplex small-RNA library construction kit. The library was size selected based on DNA 1000 LabChip kits by 2100 Bioanalyzer (Agilent Technologies) results to 146 bp long transcripts which include the barcodes, adaptors and ca. 20 bp long miRs. This ensures that sequenced transcripts are in the maximum length of 30 bp only. Libraries were quantified using the highly sensitive fluorescent dye-based Qubit® ds DNA HS Assay Kit (Invitrogen). Sequencing was run in The NextSeq Series desktop sequencing system of the Illumina platform (all 48 samples on one chip). The number of Pass Filter reads per sample was at the range of (13-14*10^6 reads). Read counts and quality for each sample were evaluated with the BaseSpace Sequencing QC report tool.",9606,Small RNA sequencing,processed data file: mirexpress2_counts_raw.csv,"Adapter trim and quality filtering using flexbar 3.4.0, miRBase alignment: miRExpress 2.1.4: Data parse (“Raw_data_parse”), statistics generation (“statistics_reads”), alignment (“alignmentSIMD”, “analysis”).",Count readout for all alignments: R/Rsubread 1.28.1,Genome_build: miRBase v21,Supplementary_files_format_and_content: mirexpress2_counts_raw.csv: Comma-delimited text file contains raw count values. Row names in miRExpress file contain mature human miR name.,GPL18573,"Sebastian,,Lobentanzer",lobentanzer@em.uni-frankfurt.de,Pharmacology,Johann-Wolfgang-von-Goethe University,Max-von-Laue-Str. 9,Frankfurt,60438,Germany,0,Illumina NextSeq 500,size fractionation,transcriptomic,miRNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12090500,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6090197,NONE
LA2CO2_3,Day 2 Control Rep 3 [LA-N-2],Female,Control,2,LA-N-2,GSM3897395,Public on Oct 15 2019,Jun 18 2019,Oct 15 2019,SRA,1,Homo sapiens,LA-N-2,cell type: Immortalized human nervous cell,passages: 10-20,rin: ~10,"Cells were treated once with 100 ng/ml (LA-N-2) or 10 ng/ml (LAN-5) of CNTF in deionized water, 24h after seeding. CNTF (or pure water for control) was added to existing medium. Medium was not changed for the duration of the experiment (max. 5 days). For short periods (30 and 60 minutes), samples were incubated at Day 2 and compared to Day 2 controls.","Cells were grown in 50/50 mixture of DMEM and RPMI media, with 20% FCS added, under 8% CO2 atmosphere. Cell splitting was performed weekly at 80% confluency.",total RNA,"Total RNA was extracted by TRIzol lysis with 1 ml of TRIzol per well. RNA was precipitated with pure Ethanol and washed with 85% Ethanol, according to the manufacturers instructions.","An even amount of 150 ng RNA per sample was used for small-RNA library construction using the New England BioLabs NEB-next multiplex small-RNA library construction kit. The library was size selected based on DNA 1000 LabChip kits by 2100 Bioanalyzer (Agilent Technologies) results to 146 bp long transcripts which include the barcodes, adaptors and ca. 20 bp long miRs. This ensures that sequenced transcripts are in the maximum length of 30 bp only. Libraries were quantified using the highly sensitive fluorescent dye-based Qubit® ds DNA HS Assay Kit (Invitrogen). Sequencing was run in The NextSeq Series desktop sequencing system of the Illumina platform (all 48 samples on one chip). The number of Pass Filter reads per sample was at the range of (13-14*10^6 reads). Read counts and quality for each sample were evaluated with the BaseSpace Sequencing QC report tool.",9606,Small RNA sequencing,processed data file: mirexpress2_counts_raw.csv,"Adapter trim and quality filtering using flexbar 3.4.0, miRBase alignment: miRExpress 2.1.4: Data parse (“Raw_data_parse”), statistics generation (“statistics_reads”), alignment (“alignmentSIMD”, “analysis”).",Count readout for all alignments: R/Rsubread 1.28.1,Genome_build: miRBase v21,Supplementary_files_format_and_content: mirexpress2_counts_raw.csv: Comma-delimited text file contains raw count values. Row names in miRExpress file contain mature human miR name.,GPL18573,"Sebastian,,Lobentanzer",lobentanzer@em.uni-frankfurt.de,Pharmacology,Johann-Wolfgang-von-Goethe University,Max-von-Laue-Str. 9,Frankfurt,60438,Germany,0,Illumina NextSeq 500,size fractionation,transcriptomic,miRNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12090499,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6090198,NONE
LA2CO2_4,Day 2 Control Rep 4 [LA-N-2],Female,Control,2,LA-N-2,GSM3897396,Public on Oct 15 2019,Jun 18 2019,Oct 15 2019,SRA,1,Homo sapiens,LA-N-2,cell type: Immortalized human nervous cell,passages: 10-20,rin: ~10,"Cells were treated once with 100 ng/ml (LA-N-2) or 10 ng/ml (LAN-5) of CNTF in deionized water, 24h after seeding. CNTF (or pure water for control) was added to existing medium. Medium was not changed for the duration of the experiment (max. 5 days). For short periods (30 and 60 minutes), samples were incubated at Day 2 and compared to Day 2 controls.","Cells were grown in 50/50 mixture of DMEM and RPMI media, with 20% FCS added, under 8% CO2 atmosphere. Cell splitting was performed weekly at 80% confluency.",total RNA,"Total RNA was extracted by TRIzol lysis with 1 ml of TRIzol per well. RNA was precipitated with pure Ethanol and washed with 85% Ethanol, according to the manufacturers instructions.","An even amount of 150 ng RNA per sample was used for small-RNA library construction using the New England BioLabs NEB-next multiplex small-RNA library construction kit. The library was size selected based on DNA 1000 LabChip kits by 2100 Bioanalyzer (Agilent Technologies) results to 146 bp long transcripts which include the barcodes, adaptors and ca. 20 bp long miRs. This ensures that sequenced transcripts are in the maximum length of 30 bp only. Libraries were quantified using the highly sensitive fluorescent dye-based Qubit® ds DNA HS Assay Kit (Invitrogen). Sequencing was run in The NextSeq Series desktop sequencing system of the Illumina platform (all 48 samples on one chip). The number of Pass Filter reads per sample was at the range of (13-14*10^6 reads). Read counts and quality for each sample were evaluated with the BaseSpace Sequencing QC report tool.",9606,Small RNA sequencing,processed data file: mirexpress2_counts_raw.csv,"Adapter trim and quality filtering using flexbar 3.4.0, miRBase alignment: miRExpress 2.1.4: Data parse (“Raw_data_parse”), statistics generation (“statistics_reads”), alignment (“alignmentSIMD”, “analysis”).",Count readout for all alignments: R/Rsubread 1.28.1,Genome_build: miRBase v21,Supplementary_files_format_and_content: mirexpress2_counts_raw.csv: Comma-delimited text file contains raw count values. Row names in miRExpress file contain mature human miR name.,GPL18573,"Sebastian,,Lobentanzer",lobentanzer@em.uni-frankfurt.de,Pharmacology,Johann-Wolfgang-von-Goethe University,Max-von-Laue-Str. 9,Frankfurt,60438,Germany,0,Illumina NextSeq 500,size fractionation,transcriptomic,miRNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12090498,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6090199,NONE
LA2CN30_1,30 Minutes CNTF Rep 1 [LA-N-2],Female,CNTF,30 minutes,LA-N-2,GSM3897397,Public on Oct 15 2019,Jun 18 2019,Oct 15 2019,SRA,1,Homo sapiens,LA-N-2,cell type: Immortalized human nervous cell,passages: 10-20,rin: ~10,"Cells were treated once with 100 ng/ml (LA-N-2) or 10 ng/ml (LAN-5) of CNTF in deionized water, 24h after seeding. CNTF (or pure water for control) was added to existing medium. Medium was not changed for the duration of the experiment (max. 5 days). For short periods (30 and 60 minutes), samples were incubated at Day 2 and compared to Day 2 controls.","Cells were grown in 50/50 mixture of DMEM and RPMI media, with 20% FCS added, under 8% CO2 atmosphere. Cell splitting was performed weekly at 80% confluency.",total RNA,"Total RNA was extracted by TRIzol lysis with 1 ml of TRIzol per well. RNA was precipitated with pure Ethanol and washed with 85% Ethanol, according to the manufacturers instructions.","An even amount of 150 ng RNA per sample was used for small-RNA library construction using the New England BioLabs NEB-next multiplex small-RNA library construction kit. The library was size selected based on DNA 1000 LabChip kits by 2100 Bioanalyzer (Agilent Technologies) results to 146 bp long transcripts which include the barcodes, adaptors and ca. 20 bp long miRs. This ensures that sequenced transcripts are in the maximum length of 30 bp only. Libraries were quantified using the highly sensitive fluorescent dye-based Qubit® ds DNA HS Assay Kit (Invitrogen). Sequencing was run in The NextSeq Series desktop sequencing system of the Illumina platform (all 48 samples on one chip). The number of Pass Filter reads per sample was at the range of (13-14*10^6 reads). Read counts and quality for each sample were evaluated with the BaseSpace Sequencing QC report tool.",9606,Small RNA sequencing,processed data file: mirexpress2_counts_raw.csv,"Adapter trim and quality filtering using flexbar 3.4.0, miRBase alignment: miRExpress 2.1.4: Data parse (“Raw_data_parse”), statistics generation (“statistics_reads”), alignment (“alignmentSIMD”, “analysis”).",Count readout for all alignments: R/Rsubread 1.28.1,Genome_build: miRBase v21,Supplementary_files_format_and_content: mirexpress2_counts_raw.csv: Comma-delimited text file contains raw count values. Row names in miRExpress file contain mature human miR name.,GPL18573,"Sebastian,,Lobentanzer",lobentanzer@em.uni-frankfurt.de,Pharmacology,Johann-Wolfgang-von-Goethe University,Max-von-Laue-Str. 9,Frankfurt,60438,Germany,0,Illumina NextSeq 500,size fractionation,transcriptomic,miRNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12090497,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6090200,NONE
LA2CN30_2,30 Minutes CNTF Rep 2 [LA-N-2],Female,CNTF,30 minutes,LA-N-2,GSM3897398,Public on Oct 15 2019,Jun 18 2019,Oct 15 2019,SRA,1,Homo sapiens,LA-N-2,cell type: Immortalized human nervous cell,passages: 10-20,rin: ~10,"Cells were treated once with 100 ng/ml (LA-N-2) or 10 ng/ml (LAN-5) of CNTF in deionized water, 24h after seeding. CNTF (or pure water for control) was added to existing medium. Medium was not changed for the duration of the experiment (max. 5 days). For short periods (30 and 60 minutes), samples were incubated at Day 2 and compared to Day 2 controls.","Cells were grown in 50/50 mixture of DMEM and RPMI media, with 20% FCS added, under 8% CO2 atmosphere. Cell splitting was performed weekly at 80% confluency.",total RNA,"Total RNA was extracted by TRIzol lysis with 1 ml of TRIzol per well. RNA was precipitated with pure Ethanol and washed with 85% Ethanol, according to the manufacturers instructions.","An even amount of 150 ng RNA per sample was used for small-RNA library construction using the New England BioLabs NEB-next multiplex small-RNA library construction kit. The library was size selected based on DNA 1000 LabChip kits by 2100 Bioanalyzer (Agilent Technologies) results to 146 bp long transcripts which include the barcodes, adaptors and ca. 20 bp long miRs. This ensures that sequenced transcripts are in the maximum length of 30 bp only. Libraries were quantified using the highly sensitive fluorescent dye-based Qubit® ds DNA HS Assay Kit (Invitrogen). Sequencing was run in The NextSeq Series desktop sequencing system of the Illumina platform (all 48 samples on one chip). The number of Pass Filter reads per sample was at the range of (13-14*10^6 reads). Read counts and quality for each sample were evaluated with the BaseSpace Sequencing QC report tool.",9606,Small RNA sequencing,processed data file: mirexpress2_counts_raw.csv,"Adapter trim and quality filtering using flexbar 3.4.0, miRBase alignment: miRExpress 2.1.4: Data parse (“Raw_data_parse”), statistics generation (“statistics_reads”), alignment (“alignmentSIMD”, “analysis”).",Count readout for all alignments: R/Rsubread 1.28.1,Genome_build: miRBase v21,Supplementary_files_format_and_content: mirexpress2_counts_raw.csv: Comma-delimited text file contains raw count values. Row names in miRExpress file contain mature human miR name.,GPL18573,"Sebastian,,Lobentanzer",lobentanzer@em.uni-frankfurt.de,Pharmacology,Johann-Wolfgang-von-Goethe University,Max-von-Laue-Str. 9,Frankfurt,60438,Germany,0,Illumina NextSeq 500,size fractionation,transcriptomic,miRNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12090496,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6090201,NONE
LA2CN30_3,30 Minutes CNTF Rep 3 [LA-N-2],Female,CNTF,30 minutes,LA-N-2,GSM3897399,Public on Oct 15 2019,Jun 18 2019,Oct 15 2019,SRA,1,Homo sapiens,LA-N-2,cell type: Immortalized human nervous cell,passages: 10-20,rin: ~10,"Cells were treated once with 100 ng/ml (LA-N-2) or 10 ng/ml (LAN-5) of CNTF in deionized water, 24h after seeding. CNTF (or pure water for control) was added to existing medium. Medium was not changed for the duration of the experiment (max. 5 days). For short periods (30 and 60 minutes), samples were incubated at Day 2 and compared to Day 2 controls.","Cells were grown in 50/50 mixture of DMEM and RPMI media, with 20% FCS added, under 8% CO2 atmosphere. Cell splitting was performed weekly at 80% confluency.",total RNA,"Total RNA was extracted by TRIzol lysis with 1 ml of TRIzol per well. RNA was precipitated with pure Ethanol and washed with 85% Ethanol, according to the manufacturers instructions.","An even amount of 150 ng RNA per sample was used for small-RNA library construction using the New England BioLabs NEB-next multiplex small-RNA library construction kit. The library was size selected based on DNA 1000 LabChip kits by 2100 Bioanalyzer (Agilent Technologies) results to 146 bp long transcripts which include the barcodes, adaptors and ca. 20 bp long miRs. This ensures that sequenced transcripts are in the maximum length of 30 bp only. Libraries were quantified using the highly sensitive fluorescent dye-based Qubit® ds DNA HS Assay Kit (Invitrogen). Sequencing was run in The NextSeq Series desktop sequencing system of the Illumina platform (all 48 samples on one chip). The number of Pass Filter reads per sample was at the range of (13-14*10^6 reads). Read counts and quality for each sample were evaluated with the BaseSpace Sequencing QC report tool.",9606,Small RNA sequencing,processed data file: mirexpress2_counts_raw.csv,"Adapter trim and quality filtering using flexbar 3.4.0, miRBase alignment: miRExpress 2.1.4: Data parse (“Raw_data_parse”), statistics generation (“statistics_reads”), alignment (“alignmentSIMD”, “analysis”).",Count readout for all alignments: R/Rsubread 1.28.1,Genome_build: miRBase v21,Supplementary_files_format_and_content: mirexpress2_counts_raw.csv: Comma-delimited text file contains raw count values. Row names in miRExpress file contain mature human miR name.,GPL18573,"Sebastian,,Lobentanzer",lobentanzer@em.uni-frankfurt.de,Pharmacology,Johann-Wolfgang-von-Goethe University,Max-von-Laue-Str. 9,Frankfurt,60438,Germany,0,Illumina NextSeq 500,size fractionation,transcriptomic,miRNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12090495,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6090202,NONE
LA2CN30_4,30 Minutes CNTF Rep 4 [LA-N-2],Female,CNTF,30 minutes,LA-N-2,GSM3897400,Public on Oct 15 2019,Jun 18 2019,Oct 15 2019,SRA,1,Homo sapiens,LA-N-2,cell type: Immortalized human nervous cell,passages: 10-20,rin: ~10,"Cells were treated once with 100 ng/ml (LA-N-2) or 10 ng/ml (LAN-5) of CNTF in deionized water, 24h after seeding. CNTF (or pure water for control) was added to existing medium. Medium was not changed for the duration of the experiment (max. 5 days). For short periods (30 and 60 minutes), samples were incubated at Day 2 and compared to Day 2 controls.","Cells were grown in 50/50 mixture of DMEM and RPMI media, with 20% FCS added, under 8% CO2 atmosphere. Cell splitting was performed weekly at 80% confluency.",total RNA,"Total RNA was extracted by TRIzol lysis with 1 ml of TRIzol per well. RNA was precipitated with pure Ethanol and washed with 85% Ethanol, according to the manufacturers instructions.","An even amount of 150 ng RNA per sample was used for small-RNA library construction using the New England BioLabs NEB-next multiplex small-RNA library construction kit. The library was size selected based on DNA 1000 LabChip kits by 2100 Bioanalyzer (Agilent Technologies) results to 146 bp long transcripts which include the barcodes, adaptors and ca. 20 bp long miRs. This ensures that sequenced transcripts are in the maximum length of 30 bp only. Libraries were quantified using the highly sensitive fluorescent dye-based Qubit® ds DNA HS Assay Kit (Invitrogen). Sequencing was run in The NextSeq Series desktop sequencing system of the Illumina platform (all 48 samples on one chip). The number of Pass Filter reads per sample was at the range of (13-14*10^6 reads). Read counts and quality for each sample were evaluated with the BaseSpace Sequencing QC report tool.",9606,Small RNA sequencing,processed data file: mirexpress2_counts_raw.csv,"Adapter trim and quality filtering using flexbar 3.4.0, miRBase alignment: miRExpress 2.1.4: Data parse (“Raw_data_parse”), statistics generation (“statistics_reads”), alignment (“alignmentSIMD”, “analysis”).",Count readout for all alignments: R/Rsubread 1.28.1,Genome_build: miRBase v21,Supplementary_files_format_and_content: mirexpress2_counts_raw.csv: Comma-delimited text file contains raw count values. Row names in miRExpress file contain mature human miR name.,GPL18573,"Sebastian,,Lobentanzer",lobentanzer@em.uni-frankfurt.de,Pharmacology,Johann-Wolfgang-von-Goethe University,Max-von-Laue-Str. 9,Frankfurt,60438,Germany,0,Illumina NextSeq 500,size fractionation,transcriptomic,miRNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12090494,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6090203,NONE
LA2CN60_1,60 Minutes CNTF Rep 1 [LA-N-2],Female,CNTF,60 minutes,LA-N-2,GSM3897401,Public on Oct 15 2019,Jun 18 2019,Oct 15 2019,SRA,1,Homo sapiens,LA-N-2,cell type: Immortalized human nervous cell,passages: 10-20,rin: ~10,"Cells were treated once with 100 ng/ml (LA-N-2) or 10 ng/ml (LAN-5) of CNTF in deionized water, 24h after seeding. CNTF (or pure water for control) was added to existing medium. Medium was not changed for the duration of the experiment (max. 5 days). For short periods (30 and 60 minutes), samples were incubated at Day 2 and compared to Day 2 controls.","Cells were grown in 50/50 mixture of DMEM and RPMI media, with 20% FCS added, under 8% CO2 atmosphere. Cell splitting was performed weekly at 80% confluency.",total RNA,"Total RNA was extracted by TRIzol lysis with 1 ml of TRIzol per well. RNA was precipitated with pure Ethanol and washed with 85% Ethanol, according to the manufacturers instructions.","An even amount of 150 ng RNA per sample was used for small-RNA library construction using the New England BioLabs NEB-next multiplex small-RNA library construction kit. The library was size selected based on DNA 1000 LabChip kits by 2100 Bioanalyzer (Agilent Technologies) results to 146 bp long transcripts which include the barcodes, adaptors and ca. 20 bp long miRs. This ensures that sequenced transcripts are in the maximum length of 30 bp only. Libraries were quantified using the highly sensitive fluorescent dye-based Qubit® ds DNA HS Assay Kit (Invitrogen). Sequencing was run in The NextSeq Series desktop sequencing system of the Illumina platform (all 48 samples on one chip). The number of Pass Filter reads per sample was at the range of (13-14*10^6 reads). Read counts and quality for each sample were evaluated with the BaseSpace Sequencing QC report tool.",9606,Small RNA sequencing,processed data file: mirexpress2_counts_raw.csv,"Adapter trim and quality filtering using flexbar 3.4.0, miRBase alignment: miRExpress 2.1.4: Data parse (“Raw_data_parse”), statistics generation (“statistics_reads”), alignment (“alignmentSIMD”, “analysis”).",Count readout for all alignments: R/Rsubread 1.28.1,Genome_build: miRBase v21,Supplementary_files_format_and_content: mirexpress2_counts_raw.csv: Comma-delimited text file contains raw count values. Row names in miRExpress file contain mature human miR name.,GPL18573,"Sebastian,,Lobentanzer",lobentanzer@em.uni-frankfurt.de,Pharmacology,Johann-Wolfgang-von-Goethe University,Max-von-Laue-Str. 9,Frankfurt,60438,Germany,0,Illumina NextSeq 500,size fractionation,transcriptomic,miRNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12090493,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6090204,NONE
LA2CN60_2,60 Minutes CNTF Rep 2 [LA-N-2],Female,CNTF,60 minutes,LA-N-2,GSM3897402,Public on Oct 15 2019,Jun 18 2019,Oct 15 2019,SRA,1,Homo sapiens,LA-N-2,cell type: Immortalized human nervous cell,passages: 10-20,rin: ~10,"Cells were treated once with 100 ng/ml (LA-N-2) or 10 ng/ml (LAN-5) of CNTF in deionized water, 24h after seeding. CNTF (or pure water for control) was added to existing medium. Medium was not changed for the duration of the experiment (max. 5 days). For short periods (30 and 60 minutes), samples were incubated at Day 2 and compared to Day 2 controls.","Cells were grown in 50/50 mixture of DMEM and RPMI media, with 20% FCS added, under 8% CO2 atmosphere. Cell splitting was performed weekly at 80% confluency.",total RNA,"Total RNA was extracted by TRIzol lysis with 1 ml of TRIzol per well. RNA was precipitated with pure Ethanol and washed with 85% Ethanol, according to the manufacturers instructions.","An even amount of 150 ng RNA per sample was used for small-RNA library construction using the New England BioLabs NEB-next multiplex small-RNA library construction kit. The library was size selected based on DNA 1000 LabChip kits by 2100 Bioanalyzer (Agilent Technologies) results to 146 bp long transcripts which include the barcodes, adaptors and ca. 20 bp long miRs. This ensures that sequenced transcripts are in the maximum length of 30 bp only. Libraries were quantified using the highly sensitive fluorescent dye-based Qubit® ds DNA HS Assay Kit (Invitrogen). Sequencing was run in The NextSeq Series desktop sequencing system of the Illumina platform (all 48 samples on one chip). The number of Pass Filter reads per sample was at the range of (13-14*10^6 reads). Read counts and quality for each sample were evaluated with the BaseSpace Sequencing QC report tool.",9606,Small RNA sequencing,processed data file: mirexpress2_counts_raw.csv,"Adapter trim and quality filtering using flexbar 3.4.0, miRBase alignment: miRExpress 2.1.4: Data parse (“Raw_data_parse”), statistics generation (“statistics_reads”), alignment (“alignmentSIMD”, “analysis”).",Count readout for all alignments: R/Rsubread 1.28.1,Genome_build: miRBase v21,Supplementary_files_format_and_content: mirexpress2_counts_raw.csv: Comma-delimited text file contains raw count values. Row names in miRExpress file contain mature human miR name.,GPL18573,"Sebastian,,Lobentanzer",lobentanzer@em.uni-frankfurt.de,Pharmacology,Johann-Wolfgang-von-Goethe University,Max-von-Laue-Str. 9,Frankfurt,60438,Germany,0,Illumina NextSeq 500,size fractionation,transcriptomic,miRNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12090492,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6090205,NONE
