,Dementia_n,Dementia_p,Dementia_l
137,NTRK2,7.95458019599067e-46,0.366144
276,PRIMA1,9.258800693044881e-26,0.34265316
520,BMP7,5.97699299537777e-14,1.1313981
539,STAT3,1.8185701245195596e-13,0.24273562
618,IL6ST,1.1096751339268729e-11,0.22860955
781,BMPR1A,8.331595725605042e-09,0.18778735
1099,STAT5B,6.315959966200844e-06,0.14751562
1563,BMPR2,0.0005541655283302037,0.12015229
1613,COLQ,0.0007994488526684527,0.2624055
1727,NR1D2,0.001503162220075233,0.1045136
1732,NGFR,0.0015785509281508008,0.7899163
1874,BMP2K,0.003205672692834168,0.11794795
2145,STAT1,0.010129536747431634,0.29002413
2189,BMP1,0.012546469199159489,0.29539728
2286,BCHE,0.017829212760189405,0.38794726
2990,BMPER,0.10548199187135653,0.23096782
4565,BMP8B,0.6602043015646164,0.2505553
5084,NPAS2,0.9036705406150026,0.2141651
6260,ARNTL,1.0,0.020216228
6768,IL6R,1.0,0.15975587
7606,BMP8A,1.0,0.04570341
8224,CNTFR,1.0,0.4463978
8314,BMP2,1.0,0.06474855
8982,ACHE,1.0,0.19991675
9690,NR1D1,1.0,0.11410249
9936,BMPR1B,1.0,0.1017333
10044,KLF16,1.0,0.17974384
11652,STAT5A,1.0,-0.06581312
13062,NGF,1.0,-0.005889802
16550,KLF4,1.0,0.20063654
17014,GBX1,1.0,0.27569997
17063,SLC5A7,1.0,1.2233745
17717,BMP6,1.0,0.042417128
17764,NTRK1,1.0,0.08810427
18213,BMP5,1.0,0.2600042
21262,NKX2-1,1.0,-0.076406255
23008,SLC18A3,1.0,0.0
24818,BMP10,1.0,0.0
25526,BMP15,1.0,-14.411313
26181,GBX2,1.0,-14.268148
26803,LHX8,1.0,-15.340029
27012,RORC,1.0,-0.23254086
27433,IL6,1.0,-16.836956
27541,LIF,1.0,-16.134125
29177,CNTF,1.0,-0.16554648
30209,CHAT,1.0,-18.66463
30752,BMP4,1.0,-0.69521856
30866,BMP3,1.0,-1.2569546
31807,LHX6,1.0,-0.1751694
32941,ARNTL2,1.0,-0.21493135
33577,BDNF,1.0,-0.41245043
34413,SMAD2,1.0,-0.047566593
34441,CLOCK,1.0,-0.05149823
34823,KLF7,0.5268067078336559,-0.061522536
34994,LIFR,0.3402250958754419,-0.040653583
35291,PCYT1A,0.09488324561071822,-0.20591435
36017,RORA,1.778645164860831e-06,-0.1978466
36066,RORB,2.714271391299552e-07,-0.44320267
