,Dementia_n,Dementia_p,Dementia_l
175,NTRK2,1.0141859844257935e-05,0.099297434
1308,KLF16,1.0,0.74856704
1700,BMPR1B,1.0,0.46328866
1872,NGF,1.0,0.14768729
2400,NKX2-1,1.0,-0.09884402
3037,NPAS2,1.0,0.060224146
4239,NGFR,1.0,2.3166163
4727,BMP3,1.0,1.2530278
6264,RORC,1.0,18.7906
7081,GBX1,1.0,0.094997406
7346,BMP5,1.0,0.7198938
8252,SLC18A3,1.0,0.0
9028,GBX2,1.0,0.0
11702,IL6,1.0,0.0
11908,LHX8,1.0,0.0
12363,BMP15,1.0,0.0
12672,BMP10,1.0,0.0
12820,LIF,1.0,0.0
14523,PRIMA1,1.0,0.56811804
18035,KLF4,1.0,-19.882874
18224,BMP7,1.0,0.6062347
18240,BDNF,1.0,0.13798527
18296,CHAT,1.0,-0.2339734
19683,SLC5A7,1.0,-19.616714
19987,BMP6,1.0,0.10908592
20819,BMP8B,1.0,-0.73971975
21343,NTRK1,1.0,0.03671861
21909,BMP4,1.0,0.19363613
22447,BMP8A,1.0,-0.31339556
22520,CNTF,1.0,-1.5527953
22776,RORB,1.0,0.09654757
23327,STAT5A,1.0,-0.2224795
23964,BCHE,1.0,0.14822346
24160,BMP1,1.0,-0.012077935
26034,STAT5B,1.0,0.00801314
27992,ACHE,1.0,-0.047521792
28148,NR1D2,0.9676755078553527,-0.04529875
28739,ARNTL2,0.8118332394877564,-0.16492102
29749,BMP2,0.5350199758584001,-0.19457856
30217,IL6R,0.43439163424596466,-0.22643259
30313,NR1D1,0.4115499203336196,-0.069440275
30831,CNTFR,0.30789784238057716,-0.15248433
31171,BMPR2,0.24109349010488954,-0.091522194
31941,CLOCK,0.12991997203832784,-0.10602928
32345,IL6ST,0.0877082337602043,-0.12702852
32613,STAT3,0.06036711538931363,-0.10136522
32879,ARNTL,0.043870782924218164,-0.13595709
33052,STAT1,0.03444272576692881,-0.28137612
33119,SMAD2,0.030992537859720632,-0.12468912
33524,KLF7,0.01730209904695887,-0.22121134
34069,BMPR1A,0.006227870187424082,-0.15522198
34086,BMPER,0.005977088231963242,-0.25971574
34132,LIFR,0.005522542214002782,-0.19750501
34338,BMP2K,0.003620116260996577,-0.18589908
34725,RORA,0.0013587540651816,-0.07381516
34814,COLQ,0.0009460045660590711,-0.23893395
35398,PCYT1A,8.920266105137895e-05,-0.2806289
36257,LHX6,2.178603667525401e-09,-0.32636636
