,Dementia_n,Dementia_p,Dementia_l
54,RORA,1.8159137488350054e-08,0.39476702
1603,STAT5B,0.600442427134519,0.1640168
1828,ACHE,0.7367443953322216,0.29612148
1866,BMPR2,0.7645247973881,0.073522486
2301,RORB,1.0,0.4510639
2325,CLOCK,1.0,0.036651816
3419,BMP8A,1.0,0.26556158
3422,BMP3,1.0,0.23884374
3739,BCHE,1.0,0.01484384
3851,CNTF,1.0,0.8755491
4132,BMP1,1.0,0.2828885
4375,CNTFR,1.0,0.16027974
4432,NGF,1.0,0.61155134
4433,GBX2,1.0,1.099033
4804,BMP2,1.0,0.7363403
5115,STAT5A,1.0,1.7361152
5875,PRIMA1,1.0,0.6597645
6095,ARNTL,1.0,0.011376168
7103,CHAT,1.0,20.609783
7641,SLC5A7,1.0,2.15012
8088,NKX2-1,1.0,1.2540667
10334,KLF4,1.0,1.0378958
11495,BMP10,1.0,0.0
12550,BMP15,1.0,0.0
12811,IL6,1.0,0.0
13149,SLC18A3,1.0,0.0
13351,LIF,1.0,0.0
14412,LHX8,1.0,0.0
15774,NGFR,1.0,-0.7658998
16489,BMP5,1.0,0.47192687
18609,LHX6,1.0,-0.11950365
19249,GBX1,1.0,-1.2328368
20983,KLF16,1.0,0.23752102
21677,BMP6,1.0,-0.89584404
22429,NR1D1,1.0,0.0882533
23078,NTRK1,1.0,-0.31166962
23904,LIFR,1.0,-0.04419787
24330,RORC,1.0,-1.4688936
25064,BMP8B,1.0,-0.49249977
26068,KLF7,1.0,-0.051667005
27780,NTRK2,1.0,-0.016872307
27805,SMAD2,1.0,-0.086993895
28162,IL6R,1.0,-0.17521577
29207,BMPR1B,0.8775797514010829,-0.12903272
29389,STAT3,0.8327659382167947,-0.09144734
29953,IL6ST,0.7005375320575253,-0.011368445
30147,STAT1,0.6619033660340615,-0.09658182
30267,BMP7,0.6370465068236107,-0.79591936
30767,BMPR1A,0.532817638490332,-0.089485444
31577,BMP4,0.37118307647325033,-0.26581016
31594,BDNF,0.3669101215401497,-0.68201077
32066,NR1D2,0.29048755839512214,-0.14712377
32997,PCYT1A,0.15542911011921814,-0.14173955
33456,NPAS2,0.0982853163326374,-0.16152766
35080,COLQ,0.006501087222879386,-0.21484764
35467,BMPER,0.0016026597251345052,-0.20800525
35603,ARNTL2,0.0008856872953695162,-0.40311712
36227,BMP2K,4.818513391270722e-06,-0.34188068
