,Dementia_n,Dementia_p,Dementia_l
18,RORA,7.410617800323553e-14,0.28375626
217,BMPR2,0.010516489852331628,0.08324237
451,RORB,0.1784008675596245,0.29422632
727,BMPER,0.6861755049243298,0.09185538
1000,STAT3,1.0,0.13675109
1043,NR1D1,1.0,0.39972767
1199,LIFR,1.0,0.032357473
1368,BMPR1A,1.0,0.036978524
1458,NTRK2,1.0,0.01537475
3246,BMP4,1.0,1.1097859
4037,NGFR,1.0,1.2905922
4386,KLF4,1.0,3.9661803
4769,NGF,1.0,0.0981307
5292,BDNF,1.0,0.85719466
6280,BMP10,1.0,18.676945
7260,GBX1,1.0,0.20837416
7779,LHX8,1.0,2.3108184
10180,IL6,1.0,0.0
11627,LIF,1.0,0.0
12220,SLC18A3,1.0,0.0
13889,RORC,1.0,-0.66805047
14043,CHAT,1.0,-1.0905255
14953,GBX2,1.0,-16.665152
15155,NKX2-1,1.0,-17.291388
15967,SLC5A7,1.0,-0.18278402
17483,CNTF,1.0,-0.22622836
17651,BMP5,1.0,-0.48790017
17718,BMP15,1.0,-19.430948
19258,BMP3,1.0,0.14555107
19875,NTRK1,1.0,-0.9730778
20717,NR1D2,1.0,0.027169617
21001,PRIMA1,1.0,-0.050160334
22148,STAT5A,1.0,0.04921385
22240,KLF16,1.0,0.08227094
22847,BMPR1B,1.0,-0.037580106
23017,BMP8B,1.0,-0.8416653
24790,STAT5B,1.0,-0.041104022
25286,NPAS2,1.0,-0.020648211
25739,IL6R,1.0,-0.079539746
25757,LHX6,1.0,-1.6648506
26246,KLF7,1.0,-0.011342094
28098,BMP2,1.0,-0.067246474
29571,ACHE,0.7228949227749236,-0.073176086
29886,BMP1,0.6365374002323106,-0.29849482
30049,BMP8A,0.6029163730893135,-0.37742677
31605,BMP7,0.28460032923198253,-0.7683438
31700,ARNTL,0.26872692235679885,-0.11311367
31740,PCYT1A,0.2629486179986266,-0.088081226
31944,ARNTL2,0.22925951770715397,-0.1800661
33153,BMP6,0.0914208943085772,-0.30903628
33162,CNTFR,0.09080681630254599,-0.12952843
33223,CLOCK,0.08553867597407114,-0.12549803
34100,SMAD2,0.03168290702715309,-0.16410312
34114,BCHE,0.03125624589083985,-0.18474333
34328,COLQ,0.02319722504000877,-0.15521848
35197,BMP2K,0.004061355052295306,-0.20543233
35825,STAT1,0.00039316695894586404,-0.4593801
36020,IL6ST,0.00011681913769321835,-0.27212077
