,Dementia_n,Dementia_p,Dementia_l
84,STAT3,6.493931117027219e-118,0.5128309
312,PRIMA1,7.232900216519154e-50,0.307358
492,NR1D2,4.6982030275078364e-32,0.24602358
625,BMPR1A,5.187038171898123e-25,0.23334594
648,STAT5B,5.292342914507563e-24,0.20537537
875,NTRK2,3.273077373092859e-17,0.16000855
906,IL6ST,3.0205506489363796e-16,0.17194295
1114,LIFR,6.994519963588343e-13,0.108180955
1133,SMAD2,1.283775234180607e-12,0.13554999
1644,BMPR2,2.7347404792664688e-08,0.12998131
1924,BMP1,1.357476234887707e-06,0.32924217
2191,KLF7,1.7908545462813462e-05,0.079595
2371,BMP2K,7.117017377304558e-05,0.10546025
3315,STAT1,0.009361728506452976,0.1342455
3621,NGFR,0.023035172546898727,0.4088744
3713,BMP7,0.030226127019837262,0.21754548
4800,STAT5A,0.22959608085857958,0.19744234
4949,BMP8B,0.2802573682742276,0.20214117
5617,NR1D1,0.5792272839134455,0.2313703
5978,RORB,0.761857674339936,0.01962834
6150,BMP2,0.8579416331108375,0.18486041
6463,IL6R,1.0,0.3213973
7148,ACHE,1.0,0.37514105
7236,ARNTL,1.0,-0.0036115795
7403,PCYT1A,1.0,-0.019719573
7709,RORA,1.0,0.0055240393
7926,NGF,1.0,0.43547532
8134,KLF16,1.0,0.21662529
9873,CNTF,1.0,0.49359486
10470,KLF4,1.0,0.7363023
11370,BMPER,1.0,-0.03759353
11631,ARNTL2,1.0,-0.08318626
11760,CNTFR,1.0,0.029980995
12086,BMP6,1.0,0.18593904
12615,GBX1,1.0,0.26490664
14199,RORC,1.0,0.31920344
15324,LIF,1.0,17.661005
16511,IL6,1.0,16.289993
16561,BMP15,1.0,2.2168453
17405,GBX2,1.0,1.8551875
20425,BMP10,1.0,0.0
21119,SLC18A3,1.0,0.0
23514,SLC5A7,1.0,0.10757072
24872,CHAT,1.0,-0.032037105
25284,BMP5,1.0,-0.38443217
25806,NKX2-1,1.0,-0.5131242
26094,LHX8,1.0,-0.89644706
27202,BMP3,1.0,-0.23799829
27300,NTRK1,1.0,-0.22148508
28960,BMP4,1.0,-0.3706362
29255,LHX6,1.0,-0.18948016
29583,NPAS2,1.0,-0.082854584
31459,COLQ,1.0,-0.07075925
31671,BMPR1B,1.0,-0.22869848
33622,BMP8A,1.0,-0.20891982
33721,BDNF,1.0,-0.6284752
35493,BCHE,0.006035894950181134,-0.40932307
35930,CLOCK,1.0580112884926241e-06,-0.12520365
