,Dementia_n,Dementia_p,Dementia_l
35,RORA,2.394374713751415e-07,0.16430165
55,BMPR2,6.02626935610951e-06,0.1402187
65,NTRK2,2.1983557830352646e-05,0.10329043
256,BCHE,0.021391460027229064,0.25541678
1159,BMPR1A,0.9340773619092944,0.06322523
1577,STAT5B,1.0,0.058635566
1612,CNTFR,1.0,0.1149905
1978,BMP1,1.0,0.25993085
2213,STAT3,1.0,0.058583885
2445,ACHE,1.0,0.18160199
3830,NR1D2,1.0,0.051881585
3898,STAT5A,1.0,0.23693016
4521,NGF,1.0,0.006599804
4943,NR1D1,1.0,0.043113388
5343,LIFR,1.0,-0.006928781
7266,BMP6,1.0,0.11934608
8324,NGFR,1.0,0.45081043
9709,NKX2-1,1.0,18.020233
10747,ARNTL,1.0,0.030479852
10839,IL6,1.0,16.383234
12189,GBX1,1.0,0.3223057
12888,BMP15,1.0,0.0
13286,SLC18A3,1.0,0.0
13487,LIF,1.0,0.0
13923,BMP10,1.0,0.0
17930,RORC,1.0,-0.44014263
18741,GBX2,1.0,-16.480034
19622,CHAT,1.0,0.96578467
20226,BMP5,1.0,-0.9309285
20380,KLF7,1.0,0.0013440175
20993,LHX8,1.0,-18.69597
21444,SLC5A7,1.0,-0.8364133
22092,IL6R,1.0,0.024317648
23138,KLF4,1.0,-0.94657737
23542,BMP4,1.0,-0.14761262
23846,CNTF,1.0,-0.18150422
24463,BMP8A,1.0,0.05977598
25079,PRIMA1,1.0,-0.1738219
25590,BDNF,1.0,-0.3820573
25916,NTRK1,1.0,-0.80490613
26083,BMP8B,1.0,-0.93260616
26816,LHX6,1.0,-0.27388358
28653,IL6ST,1.0,-0.018444834
29004,KLF16,1.0,-0.036130987
29474,BMPR1B,1.0,-0.05807954
29907,BMP7,1.0,-0.24461263
30309,PCYT1A,1.0,-0.035035238
31465,BMP2K,1.0,-0.038787104
31559,NPAS2,1.0,-0.035939258
31957,BMP2,1.0,-0.24313658
32458,SMAD2,1.0,-0.042754576
32529,RORB,1.0,-0.034214675
33876,STAT1,1.0,-0.10795783
34741,CLOCK,0.6655943807629369,-0.064802006
35328,BMP3,0.34533148750756903,-0.32021612
35516,ARNTL2,0.2271502399671888,-0.2034002
36053,COLQ,0.03692291870694321,-0.1528501
36272,BMPER,0.00739448812769211,-0.18745992
